Designator,Mid X,Mid Y,Rotation,Layer
ANT1,171.0,-97.0,180.0,bottom
C1,128.0,-74.2,90.0,bottom
LED1,123.95,-74.0,0.0,bottom
R1,127.0,-72.0,180.0,bottom
U1,139.0,-74.4,0.0,bottom
