Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,NFC_60x49_N3_NXP_NTAG_I2C_Plus_NT3H2111,1,13.56MHz_NFC_Antenna_Square,
C1,C0603,1,220nF,C21120
LED1,LED0805-R-RD,1,whiteLEDSMD,C34499
R1,0603,1,47R,C23182
U1,XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH,1,NT3H2111W0FHKH,C710403
